fold_id,validation_year,strategy,metric,block_length_sessions,repetitions,valid_repetitions,interval_status,seed,estimate_bootstrap_mean,ci_95_lower,ci_95_upper,primary_ci
WF_2024,2024,STRATIFIED_RANDOM_ACTION,accuracy,20,2000,2000,DEFINED,20263829,0.5030504443,0.4864425163,0.5197474523,False
WF_2024,2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,20,2000,2000,DEFINED,20263829,-27.0651726587,-41.4696279762,-12.4006815476,False
WF_2024,2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,20,2000,2000,DEFINED,20263829,-3.017602251,-4.3437349558,-1.5839629402,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,accuracy,20,2000,2000,DEFINED,20263829,0.5061518534,0.4845322037,0.5266230913,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,20,2000,2000,DEFINED,20263829,0.0,0.0,0.0,False
WF_2024,2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20263829,,,,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,accuracy,1,2000,2000,DEFINED,20350810,0.5050133742,0.4910861525,0.5184458804,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,mean_session_net_usd,1,2000,2000,DEFINED,20350810,0.0,0.0,0.0,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20350810,,,,False
OOF_POOLED,2022-2024,ALWAYS_LONG,accuracy,1,2000,2000,DEFINED,20350810,0.4949866258,0.4815541196,0.5089138475,False
OOF_POOLED,2022-2024,ALWAYS_LONG,mean_session_net_usd,1,2000,2000,DEFINED,20350810,-28.2244484794,-41.2436782869,-15.44475166,False
OOF_POOLED,2022-2024,ALWAYS_LONG,annualized_session_sharpe,1,2000,2000,DEFINED,20350810,-2.4225979483,-3.5508940117,-1.3047976278,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,accuracy,1,2000,2000,DEFINED,20350810,0.501384546,0.4938751579,0.5087182385,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,1,2000,2000,DEFINED,20350810,-20.4740544622,-32.5609412351,-9.3054269588,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,1,2000,2000,DEFINED,20350810,-2.0073810081,-3.1010349821,-0.9438450349,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,accuracy,1,2000,2000,DEFINED,20350810,0.5050133742,0.4910861525,0.5184458804,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,1,2000,2000,DEFINED,20350810,0.0,0.0,0.0,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20350810,,,,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,accuracy,5,2000,2000,DEFINED,20350814,0.5042493288,0.4911215916,0.5171107786,True
OOF_POOLED,2022-2024,ALWAYS_FLAT,mean_session_net_usd,5,2000,2000,DEFINED,20350814,0.0,0.0,0.0,True
OOF_POOLED,2022-2024,ALWAYS_FLAT,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20350814,,,,True
OOF_POOLED,2022-2024,ALWAYS_LONG,accuracy,5,2000,2000,DEFINED,20350814,0.4957506712,0.4828892214,0.5088784084,True
OOF_POOLED,2022-2024,ALWAYS_LONG,mean_session_net_usd,5,2000,2000,DEFINED,20350814,-27.4216183333,-40.0799658035,-15.1024236388,True
OOF_POOLED,2022-2024,ALWAYS_LONG,annualized_session_sharpe,5,2000,2000,DEFINED,20350814,-2.3498067386,-3.3952466806,-1.3104756226,True
