nyse_session_date,clock_candidate_rows,nyse_policy_session_rows,eligible_rows,partial_input_rows,degraded_context_rows,early_close_session,first_candidate_time,last_candidate_time,excluded_rows
2019-12-16,22,22,22,0,0,False,2019-12-16 14:45:00+00:00,2019-12-16 20:00:00+00:00,0
2019-12-17,22,22,22,0,0,False,2019-12-17 14:45:00+00:00,2019-12-17 20:00:00+00:00,0
2019-12-18,22,22,22,0,0,False,2019-12-18 14:45:00+00:00,2019-12-18 20:00:00+00:00,0
2019-12-19,22,22,22,0,0,False,2019-12-19 14:45:00+00:00,2019-12-19 20:00:00+00:00,0
2019-12-20,22,22,21,1,0,False,2019-12-20 14:45:00+00:00,2019-12-20 20:00:00+00:00,1
2019-12-23,22,22,20,2,0,False,2019-12-23 14:45:00+00:00,2019-12-23 20:00:00+00:00,2
2019-12-24,15,15,9,1,0,True,2019-12-24 14:45:00+00:00,2019-12-24 18:15:00+00:00,6
2019-12-26,22,22,21,1,0,False,2019-12-26 14:45:00+00:00,2019-12-26 20:00:00+00:00,1
2019-12-27,22,22,22,0,0,False,2019-12-27 14:45:00+00:00,2019-12-27 20:00:00+00:00,0
2019-12-30,22,22,22,0,0,False,2019-12-30 14:45:00+00:00,2019-12-30 20:00:00+00:00,0
2019-12-31,22,22,22,0,0,False,2019-12-31 14:45:00+00:00,2019-12-31 20:00:00+00:00,0
2020-01-02,22,22,22,0,0,False,2020-01-02 14:45:00+00:00,2020-01-02 20:00:00+00:00,0
2020-01-03,22,22,22,0,0,False,2020-01-03 14:45:00+00:00,2020-01-03 20:00:00+00:00,0
2020-01-06,22,22,22,0,0,False,2020-01-06 14:45:00+00:00,2020-01-06 20:00:00+00:00,0
2020-01-07,22,22,22,0,0,False,2020-01-07 14:45:00+00:00,2020-01-07 20:00:00+00:00,0
2020-01-08,22,22,22,0,0,False,2020-01-08 14:45:00+00:00,2020-01-08 20:00:00+00:00,0
2020-01-09,22,22,22,0,0,False,2020-01-09 14:45:00+00:00,2020-01-09 20:00:00+00:00,0
2020-01-10,22,22,22,0,0,False,2020-01-10 14:45:00+00:00,2020-01-10 20:00:00+00:00,0
2020-01-13,22,22,22,0,0,False,2020-01-13 14:45:00+00:00,2020-01-13 20:00:00+00:00,0
2020-01-14,22,22,22,0,0,False,2020-01-14 14:45:00+00:00,2020-01-14 20:00:00+00:00,0
2020-01-15,22,22,22,0,0,False,2020-01-15 14:45:00+00:00,2020-01-15 20:00:00+00:00,0
2020-01-16,22,22,22,0,0,False,2020-01-16 14:45:00+00:00,2020-01-16 20:00:00+00:00,0
2020-01-17,22,22,22,0,0,False,2020-01-17 14:45:00+00:00,2020-01-17 20:00:00+00:00,0
2020-01-20,14,0,0,6,0,False,2020-01-20 14:45:00+00:00,2020-01-20 18:00:00+00:00,14
2020-01-21,22,22,22,0,0,False,2020-01-21 14:45:00+00:00,2020-01-21 20:00:00+00:00,0
2020-01-22,22,22,22,0,0,False,2020-01-22 14:45:00+00:00,2020-01-22 20:00:00+00:00,0
2020-01-23,22,22,22,0,0,False,2020-01-23 14:45:00+00:00,2020-01-23 20:00:00+00:00,0
2020-01-24,22,22,22,0,0,False,2020-01-24 14:45:00+00:00,2020-01-24 20:00:00+00:00,0
2020-01-27,22,22,22,0,0,False,2020-01-27 14:45:00+00:00,2020-01-27 20:00:00+00:00,0
2020-01-28,22,22,22,0,0,False,2020-01-28 14:45:00+00:00,2020-01-28 20:00:00+00:00,0
2020-01-29,22,22,22,0,0,False,2020-01-29 14:45:00+00:00,2020-01-29 20:00:00+00:00,0
2020-01-30,22,22,22,0,0,False,2020-01-30 14:45:00+00:00,2020-01-30 20:00:00+00:00,0
2020-01-31,22,22,22,0,0,False,2020-01-31 14:45:00+00:00,2020-01-31 20:00:00+00:00,0
2020-02-03,22,22,22,0,0,False,2020-02-03 14:45:00+00:00,2020-02-03 20:00:00+00:00,0
2020-02-04,22,22,22,0,0,False,2020-02-04 14:45:00+00:00,2020-02-04 20:00:00+00:00,0
2020-02-05,22,22,22,0,0,False,2020-02-05 14:45:00+00:00,2020-02-05 20:00:00+00:00,0
2020-02-06,22,22,22,0,0,False,2020-02-06 14:45:00+00:00,2020-02-06 20:00:00+00:00,0
2020-02-07,22,22,22,0,0,False,2020-02-07 14:45:00+00:00,2020-02-07 20:00:00+00:00,0
2020-02-10,22,22,22,0,0,False,2020-02-10 14:45:00+00:00,2020-02-10 20:00:00+00:00,0
2020-02-11,22,22,22,0,0,False,2020-02-11 14:45:00+00:00,2020-02-11 20:00:00+00:00,0
2020-02-12,22,22,22,0,0,False,2020-02-12 14:45:00+00:00,2020-02-12 20:00:00+00:00,0
2020-02-13,22,22,22,0,0,False,2020-02-13 14:45:00+00:00,2020-02-13 20:00:00+00:00,0
2020-02-14,22,22,22,0,0,False,2020-02-14 14:45:00+00:00,2020-02-14 20:00:00+00:00,0
2020-02-17,14,0,0,6,0,False,2020-02-17 14:45:00+00:00,2020-02-17 18:00:00+00:00,14
2020-02-18,22,22,22,0,0,False,2020-02-18 14:45:00+00:00,2020-02-18 20:00:00+00:00,0
2020-02-19,22,22,22,0,0,False,2020-02-19 14:45:00+00:00,2020-02-19 20:00:00+00:00,0
2020-02-20,22,22,22,0,0,False,2020-02-20 14:45:00+00:00,2020-02-20 20:00:00+00:00,0
2020-02-21,22,22,22,0,0,False,2020-02-21 14:45:00+00:00,2020-02-21 20:00:00+00:00,0
2020-02-24,22,22,22,0,0,False,2020-02-24 14:45:00+00:00,2020-02-24 20:00:00+00:00,0
2020-02-25,22,22,22,0,0,False,2020-02-25 14:45:00+00:00,2020-02-25 20:00:00+00:00,0
2020-02-26,22,22,22,0,0,False,2020-02-26 14:45:00+00:00,2020-02-26 20:00:00+00:00,0
2020-02-27,22,22,22,0,22,False,2020-02-27 14:45:00+00:00,2020-02-27 20:00:00+00:00,0
2020-02-28,22,22,22,0,22,False,2020-02-28 14:45:00+00:00,2020-02-28 20:00:00+00:00,0
2020-03-02,22,22,22,0,0,False,2020-03-02 14:45:00+00:00,2020-03-02 20:00:00+00:00,0
2020-03-03,22,22,22,0,0,False,2020-03-03 14:45:00+00:00,2020-03-03 20:00:00+00:00,0
2020-03-04,22,22,22,0,0,False,2020-03-04 14:45:00+00:00,2020-03-04 20:00:00+00:00,0
2020-03-05,22,22,22,0,0,False,2020-03-05 14:45:00+00:00,2020-03-05 20:00:00+00:00,0
2020-03-06,22,22,22,0,0,False,2020-03-06 14:45:00+00:00,2020-03-06 20:00:00+00:00,0
2020-03-09,22,22,20,2,0,False,2020-03-09 13:45:00+00:00,2020-03-09 19:00:00+00:00,2
2020-03-10,22,22,22,0,0,False,2020-03-10 13:45:00+00:00,2020-03-10 19:00:00+00:00,0
2020-03-11,22,22,22,0,0,False,2020-03-11 13:45:00+00:00,2020-03-11 19:00:00+00:00,0
2020-03-12,22,22,20,2,0,False,2020-03-12 13:45:00+00:00,2020-03-12 19:00:00+00:00,2
2020-03-13,22,22,22,0,0,False,2020-03-13 13:45:00+00:00,2020-03-13 19:00:00+00:00,0
2020-03-16,22,22,21,1,0,False,2020-03-16 13:45:00+00:00,2020-03-16 19:00:00+00:00,1
2020-03-17,22,22,22,0,0,False,2020-03-17 13:45:00+00:00,2020-03-17 19:00:00+00:00,0
2020-03-18,22,22,20,2,0,False,2020-03-18 13:45:00+00:00,2020-03-18 19:00:00+00:00,2
2020-03-19,22,22,22,0,0,False,2020-03-19 13:45:00+00:00,2020-03-19 19:00:00+00:00,0
2020-03-20,22,22,22,0,0,False,2020-03-20 13:45:00+00:00,2020-03-20 19:00:00+00:00,0
2020-03-23,22,22,22,0,0,False,2020-03-23 13:45:00+00:00,2020-03-23 19:00:00+00:00,0
2020-03-24,22,22,22,0,0,False,2020-03-24 13:45:00+00:00,2020-03-24 19:00:00+00:00,0
2020-03-25,22,22,22,0,0,False,2020-03-25 13:45:00+00:00,2020-03-25 19:00:00+00:00,0
2020-03-26,22,22,22,0,0,False,2020-03-26 13:45:00+00:00,2020-03-26 19:00:00+00:00,0
2020-03-27,22,22,22,0,0,False,2020-03-27 13:45:00+00:00,2020-03-27 19:00:00+00:00,0
2020-03-30,22,22,22,0,0,False,2020-03-30 13:45:00+00:00,2020-03-30 19:00:00+00:00,0
2020-03-31,22,22,22,0,0,False,2020-03-31 13:45:00+00:00,2020-03-31 19:00:00+00:00,0
2020-04-01,22,22,22,0,0,False,2020-04-01 13:45:00+00:00,2020-04-01 19:00:00+00:00,0
2020-04-02,22,22,22,0,0,False,2020-04-02 13:45:00+00:00,2020-04-02 19:00:00+00:00,0
2020-04-03,22,22,22,0,0,False,2020-04-03 13:45:00+00:00,2020-04-03 19:00:00+00:00,0
2020-04-06,22,22,22,0,0,False,2020-04-06 13:45:00+00:00,2020-04-06 19:00:00+00:00,0
2020-04-07,22,22,22,0,0,False,2020-04-07 13:45:00+00:00,2020-04-07 19:00:00+00:00,0
2020-04-08,22,22,22,0,0,False,2020-04-08 13:45:00+00:00,2020-04-08 19:00:00+00:00,0
2020-04-09,22,22,22,0,0,False,2020-04-09 13:45:00+00:00,2020-04-09 19:00:00+00:00,0
2020-04-13,22,22,22,0,0,False,2020-04-13 13:45:00+00:00,2020-04-13 19:00:00+00:00,0
2020-04-14,22,22,22,0,0,False,2020-04-14 13:45:00+00:00,2020-04-14 19:00:00+00:00,0
2020-04-15,22,22,22,0,0,False,2020-04-15 13:45:00+00:00,2020-04-15 19:00:00+00:00,0
2020-04-16,22,22,22,0,0,False,2020-04-16 13:45:00+00:00,2020-04-16 19:00:00+00:00,0
2020-04-17,22,22,22,0,0,False,2020-04-17 13:45:00+00:00,2020-04-17 19:00:00+00:00,0
2020-04-20,22,22,22,0,0,False,2020-04-20 13:45:00+00:00,2020-04-20 19:00:00+00:00,0
2020-04-21,22,22,22,0,0,False,2020-04-21 13:45:00+00:00,2020-04-21 19:00:00+00:00,0
2020-04-22,22,22,22,0,0,False,2020-04-22 13:45:00+00:00,2020-04-22 19:00:00+00:00,0
2020-04-23,22,22,22,0,0,False,2020-04-23 13:45:00+00:00,2020-04-23 19:00:00+00:00,0
2020-04-24,22,22,22,0,0,False,2020-04-24 13:45:00+00:00,2020-04-24 19:00:00+00:00,0
2020-04-27,22,22,22,0,0,False,2020-04-27 13:45:00+00:00,2020-04-27 19:00:00+00:00,0
2020-04-28,22,22,22,0,0,False,2020-04-28 13:45:00+00:00,2020-04-28 19:00:00+00:00,0
2020-04-29,22,22,22,0,0,False,2020-04-29 13:45:00+00:00,2020-04-29 19:00:00+00:00,0
2020-04-30,22,22,22,0,0,False,2020-04-30 13:45:00+00:00,2020-04-30 19:00:00+00:00,0
2020-05-01,22,22,22,0,0,False,2020-05-01 13:45:00+00:00,2020-05-01 19:00:00+00:00,0
2020-05-04,22,22,22,0,0,False,2020-05-04 13:45:00+00:00,2020-05-04 19:00:00+00:00,0
2020-05-05,22,22,22,0,0,False,2020-05-05 13:45:00+00:00,2020-05-05 19:00:00+00:00,0
2020-05-06,22,22,22,0,0,False,2020-05-06 13:45:00+00:00,2020-05-06 19:00:00+00:00,0
2020-05-07,22,22,22,0,0,False,2020-05-07 13:45:00+00:00,2020-05-07 19:00:00+00:00,0
2020-05-08,22,22,22,0,0,False,2020-05-08 13:45:00+00:00,2020-05-08 19:00:00+00:00,0
2020-05-11,22,22,22,0,0,False,2020-05-11 13:45:00+00:00,2020-05-11 19:00:00+00:00,0
2020-05-12,22,22,22,0,0,False,2020-05-12 13:45:00+00:00,2020-05-12 19:00:00+00:00,0
2020-05-13,22,22,22,0,0,False,2020-05-13 13:45:00+00:00,2020-05-13 19:00:00+00:00,0
2020-05-14,22,22,22,0,0,False,2020-05-14 13:45:00+00:00,2020-05-14 19:00:00+00:00,0
2020-05-15,22,22,22,0,0,False,2020-05-15 13:45:00+00:00,2020-05-15 19:00:00+00:00,0
2020-05-18,22,22,22,0,0,False,2020-05-18 13:45:00+00:00,2020-05-18 19:00:00+00:00,0
2020-05-19,22,22,22,0,0,False,2020-05-19 13:45:00+00:00,2020-05-19 19:00:00+00:00,0
2020-05-20,22,22,22,0,0,False,2020-05-20 13:45:00+00:00,2020-05-20 19:00:00+00:00,0
2020-05-21,22,22,22,0,0,False,2020-05-21 13:45:00+00:00,2020-05-21 19:00:00+00:00,0
2020-05-22,22,22,22,0,0,False,2020-05-22 13:45:00+00:00,2020-05-22 19:00:00+00:00,0
2020-05-25,14,0,0,0,0,False,2020-05-25 13:45:00+00:00,2020-05-25 17:00:00+00:00,14
2020-05-26,22,22,22,0,0,False,2020-05-26 13:45:00+00:00,2020-05-26 19:00:00+00:00,0
2020-05-27,22,22,22,0,0,False,2020-05-27 13:45:00+00:00,2020-05-27 19:00:00+00:00,0
2020-05-28,22,22,22,0,0,False,2020-05-28 13:45:00+00:00,2020-05-28 19:00:00+00:00,0
2020-05-29,22,22,22,0,0,False,2020-05-29 13:45:00+00:00,2020-05-29 19:00:00+00:00,0
2020-06-01,22,22,22,0,0,False,2020-06-01 13:45:00+00:00,2020-06-01 19:00:00+00:00,0
2020-06-02,22,22,22,0,0,False,2020-06-02 13:45:00+00:00,2020-06-02 19:00:00+00:00,0
2020-06-03,22,22,22,0,0,False,2020-06-03 13:45:00+00:00,2020-06-03 19:00:00+00:00,0
2020-06-04,22,22,22,0,0,False,2020-06-04 13:45:00+00:00,2020-06-04 19:00:00+00:00,0
2020-06-05,22,22,22,0,0,False,2020-06-05 13:45:00+00:00,2020-06-05 19:00:00+00:00,0
2020-06-08,22,22,22,0,0,False,2020-06-08 13:45:00+00:00,2020-06-08 19:00:00+00:00,0
2020-06-09,22,22,22,0,0,False,2020-06-09 13:45:00+00:00,2020-06-09 19:00:00+00:00,0
2020-06-10,22,22,22,0,0,False,2020-06-10 13:45:00+00:00,2020-06-10 19:00:00+00:00,0
2020-06-11,22,22,22,0,0,False,2020-06-11 13:45:00+00:00,2020-06-11 19:00:00+00:00,0
2020-06-12,22,22,22,0,0,False,2020-06-12 13:45:00+00:00,2020-06-12 19:00:00+00:00,0
2020-06-15,22,22,22,0,0,False,2020-06-15 13:45:00+00:00,2020-06-15 19:00:00+00:00,0
2020-06-16,22,22,22,0,0,False,2020-06-16 13:45:00+00:00,2020-06-16 19:00:00+00:00,0
2020-06-17,22,22,22,0,0,False,2020-06-17 13:45:00+00:00,2020-06-17 19:00:00+00:00,0
2020-06-18,22,22,22,0,0,False,2020-06-18 13:45:00+00:00,2020-06-18 19:00:00+00:00,0
